name,lat_first,lon_first,lat_centroid,lon_centroid,description
lat = 3/4 c27,-9.8822654,-68.5,-9.8822654,-67.3,
lat = 3/4 r27,-9.8552836,-68.5,-9.8552836,-67.3,
meridian / 6,-15.0,-64.857,-15.0,-64.42022433333334,
meridian / 7,-12.857143,-67.3,-12.857142999999999,-64.8,
meridian / 8,-11.25,-68.5,-11.25,-67.59999368421052,
meridian / 9,-10.0,-68.5,-10.0,-67.59999415789474,
meridian / 10,-9.0,-67.8,-9.0,-67.29999081818181,
lloma-lomax,-15.201527,-64.469906,-15.2327995,-64.413622,
amads-amaq15,-9.188328,-67.204125,-9.223482,-67.124112,
amasq-amael,-9.159157,-67.218394,-9.182648499999999,-67.271647,
solstice 114.0°,-9.12814647362323,-67.2133064678814,-9.131470890935805,-67.20574215214451,
solstice 113.92°,-9.133224420291693,-67.27763549936577,-9.146785751483812,-67.24666339500624,
lunar major,-10.08794818894499,-67.31158103879821,-10.089012740618216,-67.30966538132435,
lunar major,-9.8819291,-67.4164676,-9.880059,-67.41324507499999,
abuno-acrc60-acrtq,-9.74665,-67.293425,-9.870652,-66.995554,Abuna Oval 342 x 315m - Acre Circle 350m - Acre Triple Quadrangle 320 x 230m e-w ratio @ acrc60 = 1.0 : 0.600083 (+5m) arcs ratio @ abuno = 1.0 : 0.400101 (+7m) arcs ratio @ acrtq = 1.0 : 0.666947 (+11m) great circle @ acrtq = 180.1996°
abuno-acrc60-assis,-10.910099,-69.493066,-10.212045333333334,-67.840479,Abuna Oval 342 x 315m - Acre Circle 350m - Assis Oval 325 x 272m n-s ratio @ abuno = 1.0 : 0.250063 (+7m) n-s ratio @ acrc60 = 1.0 : 0.200041 (+5m)
abuno-amasq-nocp,40.05469583,-82.4442625,6.97205061,-72.13253416666667,Abuna Oval 342 x 315m - Amazonas Square 337m - Newark Octagon n-s ratio @ amasq = 1.0 : 0.016667 (-0.1m)
abuno-bdese-assis,-10.910099,-69.493066,-10.195391,-67.90556966666666,Abuna Oval 342 x 315m - Bom Destino Enclosure 412 x 270m - Assis Oval 325 x 272m e-w ratio @ abuno = 1.0 : 0.273284 (+21m) epoch hopewell dl = 27.321666	days per lunar orbit
abuno-rong23-sgaen,-10.265453,-67.06337,-10.027053,-66.71888166666666,Abuna Oval 342 x 315m - Rondonia Geoglyph 280m - San Gabriel Enclosure 240m n-s ratio @ abuno = 1.0 : 0.500122 (+4m)
abuno-seasc-noctm,40.05338627,-82.446436285,6.870800423333333,-75.805366095,Abuna Oval 342 x 315m - Sechin Alto Sunken Court - Newark Octagon Mean e-w ratio @ seasc = 1.0 : 0.366244 (+2m) epoch hopewell ry = 366.242358	rotations per year
abuov-uinti-noe,40.05597222,-82.44219444,5.600242073333334,-73.95633148,Abuna Oval 220 x 210m - Urubamba Intiwatana GPS - Octagon Apex e-w ratio @ abuov = 1.0 : 0.365245 (+5m) epoch hopewell dy = 365.2423969 days per year
abuno-xapen-rondg,-9.685615,-66.404247,-10.149522333333332,-67.17006833333333,Abuna Oval 342 x 315m - Xapuri Enclosure 340m - Rondonia Geoglyph 195m n-s ratio @ abuno = 1.0 : 0.365307 (+5m) epoch hopewell do = 365.2564674 days per orbit Photo credit: Dr. Robert S. Walker
acds4-lsunm-nocc,40.05207671,-82.44861007,20.13126557,-80.31713202333333,Acre Double Square 200m - LSU North Mound - Observatory Circle e-w ratio @ lsunm = 1.0 : 0.366009 (-1m) epoch hopewell ld = 0.0366010 lunar orbits per day Photo credit: Dr. Robert S. Walker
acrc60-fenix-nccm,40.04102778,-82.43088889,16.03290592666667,-80.28849229666667,Acre Circle 350m - Aguada Fenix - Eagle Mound e-w ratio @ fenix = 1.0 : 0.365245 (+8m) epoch hopewell dy = 365.2423969 days per year
acrc60-lhald-nocp,-9.74665,-67.293425,6.86904261,-76.01126183333334,Acre Circle 350m - Las Haldas Plaza - Newark Octagon e-w ratio @ nocp = 1.0 : 0.273791 (+0.5m) epoch hopewell yd = 0.0027379 years per day e-w ratio @ nocp = 1.0 : 3.652420 (+0.5m) epoch hopewell dy = 365.2423969 days per year
acrc60-lloma-macht,-13.164079,-72.544742,-12.704085333333333,-68.102691,"Acre Circle 350m - La Loma - Machupicchu Torreon e-w ratio @ acrc60 = 1.0 : 1.859848 (+3m) epoch hopewell ot = 18.5986562 orbits per lunar orbit turn Acre Circle 350m - La Loma - Machupicchu High Group acrc60-lloma-machg e-w ratio @ acrc60 = 1.0 : 1.859937 (-1m) epoch hopewell yt = 18.5993727 years per lunar orbit turn Acre Circle 350m - La Loma Zanja - Machupicchu Windows acrc60-lomaz-machw e-w ratio @ acrc60 = 1.0 : 1.859944 (-1m) epoch hopewell yt = 18.5993727 years per lunar orbit turn Forest Island 1, to the northwest, is on the La Loma - Loma X alignment."
acrc60-pachs-nccm,-9.74665,-67.293425,6.010529593333334,-75.54204529666667,Acre Circle 350m - Pachacamac - Eagle Mound e-w ratio @ nccm = 1.0 : 0.365257 (+1m) epoch hopewell do = 365.2564674	days per orbit Acre Circle 350m - Pachacamac - Observatory Circle acrc60-pachs-nocc e-w ratio @ nocc = 1.0 : 0.365999 (-18m) epoch hopewell ld = 0.0366010 lunar orbits per day
acrc60-nccm-yerup,-10.268785,-76.905518,6.675197593333333,-75.54327729666666,Acre Circle 350m - Eagle Mound - Yerupaja GE e-w ratio @ nccm = 1.0 : 0.365013 (+4m) epoch hopewell lr = 0.0365011 lunar orbits per rotation
acrc60-pcocs-nocga,40.053222,-82.446715,10.120369666666667,-76.016315,Acre Circle 350m - Cochasqui Sur - Octagon Gateway arcs ratio @ pcocs = 1.0 : 0.366009 (-4m) epoch hopewell ld = 0.0366010 lunar orbits per day Acre Circle 350m - Cochasqui Sur - Octagon Earthwork acrc60-pcocs-octag e-w ratio @ octag = 1.0 : 0.273044 (+1m) epoch hopewell yr = 0.0027304 years per rotation
acree-fenip-nccm,40.04102778,-82.43088889,16.03669626,-80.28377929666668,"Acre Enclosure 250m - Aguada Fenix Pyramid - Eagle Mound e-w ratio @ fenip = 1.0 : 0.365256 (-3m) epoch hopewell do = 365.2564674 days per orbit Wikimedia Commons , Creative Commons license."
acree-pachs-noom,-9.734399,-67.259218,6.017983629999999,-75.53705963,Acre Enclosure 250m - Pachacamac - Observatory Mound e-w ratio @ noom = 1.0 : 0.365239 (-6m) epoch hopewell dy = 365.2423969 days per year 900 × 675 pixels
acroc-amaoc-takcp,-9.455583,-78.250034,-9.511718,-70.923957,Acre Octagon 155m - Amazonas Octagon 155m - Taukachi Circular Plaza n-s ratio @ acroc = 1.0 : 0.618205 (+13m) n-s ratio @ takcp = 1.0 : 0.617586 (-22m) n-s ratio @ amaoc = 1.0 : 2.619207 (-13m) phi ratio 0.618034... : 1.0 = 1.0 : 1.618034...
acroc-hdscl-noom,40.05113889,-82.45013889,7.3412879633333326,-76.32123563,Acre Octagon 155m - Huaca del Sol Centerline - Observatory Mound n-s ratio @ hdscl = 1.0 : 0.036624 (-1m) epoch hopewell ry = 366.242358 rotations per year Newark Octagon - Huaca del Sol - Acre Octagon 155m nocp-hdsol-acroc n-s ratio @ hdsol = 1.0 : 0.036629 (+17m) epoch hopewell ro = 366.256467 rotations per orbit
acroc-nocc-hbwoc,39.29730578,-82.91752083,23.15114183,-77.62844863333333,Acre Octagon 155m - Observatory Circle - High Bank Octagon e-w ratio @ nocc = 1.0 : 0.031409 (-12m) pi = 3.14159265… : 1.0 : 0.3183099…
acroc-nocc-npole,40.05207671,-82.44861007,40.052049104975,-58.104108785025,Acre Octagon 155m - Observatory Circle - North Pole nocc-npole-acroc arcs ratio @ npole = 1.0 : 0.499999 (-6m) Acre Octagon 155m - Observatory Mound acroc-noom arc 51.827238° cosine = 0.618035 (-6m)
acroc-nocga-popoe,-9.895957,-67.519215,20.931230333333332,-80.45640233333334,Acre Octagon 155m - Octagon Gateway - Poverty Point Earthworks e-w ratio @ nocg = 1.0 : 0.600004 (+7m) e-w ratio @ acroc = 1.0 : 0.624998 (-4m) e-w ratio @ acroc = 8.000021 : 5.0 (-4m) Great Circle - Poverty Point A - Rio Branco Double Quadrangle 340 x 240m e-w ratio @ ncec = 1.0 : 0.618044 (+10m) e-w ratio @ rbrdq = 1.0 : 0.618030 (-10m) Poverty Point Earthworks KML file
acroc-noom,40.05113889,-82.45013889,15.077590944999999,-74.984676945,"Acre Octagon 155m - Observatory Mound arc 51.827238° cosine = 0.618035 (-6m) phi ratio 0.618034... : 1.0 = 1.0 : 1.618034... The arc distance from the Newark Octagon's Observatory Mound to the Acre Octagon in Brazil (noom-acroc) equals 51.827238° (cosine = 0.618035).  The angle's cosine equals phi (51.827292° cosine = 0.618034...).  The six meter margin of error is one part in 952,000, about the same as for the monument coordinates.  The angle matches both the Newark Octagon azimuth and the earthwork's lunar major azimuth. Octagons KLM Google Earth file: jqjacobs.net/kml/octagons.kml"
acroc-sealp-garop,-28.625469,-48.892896,-15.994662999999997,-64.88300933333333,Acre Octagon 155m - Sechin Alto Plaza - Garopaba Sambaqui e-w ratio @ sealp = 1.0 : 0.365243 (+2m) epoch hopewell dy = 365.2423969 days per year 1334 × 581 pixels
acroc-secas-chhpc,-9.895957,-67.519215,-9.651691666666666,-74.31329566666666,Acre Octagon 155m - Sechin Alto Sala - Chavin Plaza Circular arcs ratio @ secas = 1.0 : 0.099999 (-2m)
acrqu-fenim-nocp,40.05469583,-82.4442625,15.923808943333333,-80.29960083333333,Acre Quadrangle 188 x 168m - Aguada Fenix Mound - Newark Octagon e-w ratio @ fenim = 1.0 : 0.365010 (-1m) epoch hopewell lr = 0.0365011 lunar orbits per rotation
acrqu-pachs-nocp,-10.087948,-67.311575,5.901319609999999,-75.55255316666667,Acre Quadrangle 188 x 168m - Pachacamac - Newark Octagon e-w ratio @ nocp = 1.0 : 0.366256 (-1m) epoch hopewell ro = 366.256467 rotations per orbit
acrs20-ememo-nocc,40.05207671,-82.44861007,20.647579903333334,-80.28469768999999,Acre Square 190m - Emerald Mound - Observatory Circle e-w ratio @ ememo = 1.0 : 0.365253 (-9m) epoch hopewell ry = 366.242358	rotations per year
acrtq-popoe-noom,40.05113889,-82.45013889,20.93388196333333,-80.27056896333333,"Acre Triple Quadrangle 320 x 230m - Poverty Point Earthworks - Observatory Mound e-w ratio @ popoe = 1.0 : 0.366257 (+0.4m) epoch hopewell ro = 366.256467 rotations per orbit Poverty Point World Heritage Site The central construction consists of six rows of concentric ridges, parts of which were as high as five feet. The ridges form a semi-ellipse or C-shape, divided into sections by at least four aisles. The diameter of the outermost ridge measures nearly three-quarters of a mile. It is thought that these ridges served as foundations for dwellings although little evidence of structures has been found. However, features and midden deposits uncovered during excavations support this hypothesis. Poverty Point is indeed a rare remnant of an exceptional culture. It has been estimated that landscape preparation and earthworks construction may have required moving as many as 53 million cubic feet of soil. Poverty Point Earthworks KML file"
acrts-nocc-pinci,40.05207671,-82.44861007,21.883276570000003,-79.51471035666667,Acre Triple Square 230m - Observatory Circle - Pinson Circle e-w ratio @ acrts = 1.0 : 1.4141205 (+10m) sqrt 2 = 1.414214 Pinson Circle - Observatory Mound pinci-noom arc 6.700588° = 0.01861274 cir (+1m) epoch hopewell ys = 18.6127085 years per lunar standstill period
acrts-nocga,40.053222,-82.446715,15.077782,-74.935053,Acre Triple Square 230m - Newark Octagon Gateway arc 51.853756° tangent = 1.273230 (-24m) 4 / pi = 1.273240 (-24m)
